matrix,rows,cols,nnz,method,ms_mean,ms_median,ms_std,gflops,gbps,check_max_abs,pct_of_best_cusparse,samples_ms
webbase-1M.mtx,1000005,1000005,3105536,cusparse_default,0.0950858,0.094976,0.000649565,65.3207,476.059,-1,100,0.094656;0.094368;0.09568;0.095616;0.094368;0.094944;0.095136;0.094496;0.094976;0.095008;0.09472;0.094208;0.094368;0.09552;0.094208;0.094752;0.09472;0.095008;0.096224;0.095744;0.095808;0.095296;0.094432;0.094976;0.094688;0.095104;0.095488;0.09568;0.096192;0.096032;0.09536;0.095808;0.094272;0.094688;0.09488;0.094592;0.095584;0.095648;0.09424;0.094688;0.094624;0.09504;0.095072;0.094752;0.09552;0.0944;0.094784;0.096256;0.094464;0.094464;0.094208;0.095392;0.095648;0.094592;0.09424;0.09456;0.0944;0.094784;0.094208;0.095168;0.094688;0.095712;0.09424;0.095424;0.095456;0.094592;0.094848;0.096256;0.094592;0.094592;0.094752;0.094464;0.09472;0.095968;0.094208;0.096064;0.095104;0.095808;0.095872;0.094208;0.096064;0.095744;0.095296;0.094336;0.096;0.096;0.095584;0.096032;0.096256;0.095232;0.094624;0.094368;0.094688;0.095104;0.096224;0.094944;0.096256;0.095072;0.095456;0.094496;0.09472;0.094848;0.095232;0.095168;0.096064;0.095488;0.095808;0.094208;0.094784;0.094464;0.094784;0.09552;0.094368;0.096096;0.095456;0.095872;0.094208;0.094304;0.09616;0.096192;0.094752;0.09584;0.096192;0.095328;0.094208;0.09488;0.0952;0.09488;0.095072;0.095712;0.09616;0.09504;0.094208;0.094816;0.094496;0.09456;0.096256;0.094656;0.094816;0.095936;0.094208;0.094432;0.095232;0.094848;0.094496;0.095712;0.095936;0.094208;0.094752;0.09504;0.095488;0.09424;0.094592;0.094752;0.09472;0.096256;0.096256;0.096032;0.09584;0.09424;0.09584;0.09616;0.096256;0.094976;0.095104;0.094304;0.094208;0.095584;0.095264;0.094624;0.094688;0.094912;0.095104;0.096224;0.09616;0.095648;0.094208;0.094944;0.095808;0.094208;0.094656;0.09472;0.094592;0.095776;0.094208;0.095552;0.094624;0.095072;0.095136;0.094208;0.095328;0.094464;0.095072;0.095808;0.09456;0.094848;0.094208;0.094688;0.094528;0.09568;0.09424;0.09456;0.0944;0.094528;0.09504;0.096256;0.096256;0.09504;0.094208;0.094208;0.094656;0.095712;0.09568;0.095392;0.094496;0.094912;0.095104;0.096;0.095648;0.095424;0.094208;0.094432;0.094464;0.094912;0.094656;0.094816;0.09536;0.096128;0.09504;0.096128;0.095872;0.096064;0.094208;0.094464;0.096224;0.095264;0.094304;0.094976;0.095072;0.094784;0.095808;0.096128;0.096096;0.095264;0.09472;0.09456;0.094272;0.094432;0.0944;0.09456
webbase-1M.mtx,1000005,1000005,3105536,cusparse_csr_alg2,0.106119,0.106336,0.00099047,58.5292,426.563,-1,89.6029,0.106624;0.106496;0.118208;0.10592;0.106496;0.106496;0.1064;0.10672;0.106496;0.106496;0.105472;0.10544;0.106496;0.106944;0.106432;0.106496;0.10656;0.104832;0.105952;0.106496;0.106592;0.106176;0.106496;0.106496;0.104992;0.105376;0.106848;0.106496;0.10704;0.106496;0.106112;0.105024;0.106208;0.106112;0.1056;0.106496;0.105376;0.106752;0.106688;0.105472;0.106336;0.106496;0.106496;0.10544;0.105472;0.106304;0.106368;0.106496;0.10656;0.106208;0.10592;0.106496;0.106368;0.104928;0.105728;0.106816;0.10672;0.106272;0.106368;0.106496;0.105152;0.10528;0.106656;0.106496;0.106432;0.108384;0.106496;0.106496;0.106592;0.10768;0.105952;0.106368;0.106496;0.106624;0.106496;0.106304;0.106592;0.105408;0.104736;0.106368;0.106496;0.10656;0.106528;0.106496;0.106496;0.106496;0.105088;0.105056;0.104608;0.105184;0.104608;0.106464;0.106048;0.10624;0.106496;0.106304;0.106496;0.106496;0.104864;0.105472;0.106528;0.104736;0.106304;0.106336;0.106496;0.106496;0.106176;0.106496;0.105376;0.106208;0.106496;0.105184;0.106912;0.10624;0.106496;0.105312;0.106432;0.106496;0.10592;0.106496;0.106496;0.106496;0.105248;0.10544;0.106272;0.105888;0.106528;0.105952;0.106368;0.105856;0.106048;0.105728;0.105888;0.104512;0.106432;0.106496;0.105376;0.104992;0.106176;0.105536;0.104672;0.105152;0.105728;0.10576;0.106112;0.106464;0.106496;0.106656;0.106496;0.106144;0.104608;0.106272;0.104448;0.10592;0.105056;0.10464;0.105728;0.10608;0.106432;0.106496;0.106496;0.106496;0.105376;0.106496;0.105088;0.105984;0.10576;0.105728;0.105952;0.106176;0.10672;0.106496;0.105312;0.106464;0.105056;0.106432;0.106464;0.10528;0.106176;0.105984;0.10768;0.105888;0.105952;0.106112;0.106496;0.106016;0.106496;0.106496;0.106496;0.105856;0.105632;0.106368;0.106336;0.106112;0.106464;0.106016;0.106432;0.105472;0.10512;0.10544;0.105344;0.10592;0.106496;0.106496;0.105312;0.105696;0.104864;0.106464;0.106432;0.106304;0.106496;0.106624;0.106144;0.105568;0.10608;0.106496;0.1064;0.106752;0.10528;0.106496;0.105408;0.106592;0.1064;0.105952;0.10592;0.106432;0.106496;0.105952;0.106496;0.106496;0.104768;0.1048;0.10688;0.106208;0.106496;0.106848;0.105888;0.104576;0.105184;0.106368;0.104992;0.106464;0.106496;0.105312;0.106496;0.105152;0.10512;0.106336;0.106048;0.1064
webbase-1M.mtx,1000005,1000005,3105536,baseline,0.261931,0.262048,0.00160892,23.7127,172.819,5.34058e-05,36.3019,0.26336;0.260096;0.260224;0.262048;0.260096;0.263808;0.26064;0.262144;0.262016;0.262016;0.26352;0.260096;0.262144;0.26224;0.260864;0.259904;0.262208;0.264192;0.262144;0.261184;0.262624;0.261824;0.262144;0.264192;0.262144;0.26176;0.262176;0.263808;0.264576;0.263552;0.26176;0.26048;0.260992;0.258784;0.263616;0.262016;0.261504;0.259616;0.262304;0.263328;0.26096;0.262048;0.260992;0.260256;0.261792;0.260192;0.26016;0.261056;0.260704;0.261888;0.260224;0.261312;0.26096;0.26256;0.260416;0.262144;0.262144;0.261888;0.260224;0.263296;0.26256;0.264256;0.262144;0.263264;0.26272;0.265504;0.263616;0.260768;0.26624;0.262144;0.265216;0.262656;0.260128;0.261824;0.260352;0.262144;0.261728;0.261056;0.266016;0.260096;0.261952;0.262144;0.264064;0.26016;0.266176;0.264224;0.262976;0.258048;0.26208;0.260096;0.264192;0.262144;0.260864;0.261408;0.261696;0.260416;0.264192;0.260096;0.262176;0.266048;0.260416;0.262112;0.260096;0.262144;0.262048;0.264192;0.26224;0.260512;0.262144;0.264192;0.263616;0.260096;0.262144;0.26016;0.262144;0.262144;0.26624;0.260096;0.261856;0.26112;0.26208;0.262528;0.261984;0.261888;0.262016;0.26272;0.261216;0.262464;0.264192;0.262144;0.261984;0.261376;0.260544;0.264192;0.26224;0.264192;0.264;0.262272;0.262208;0.259616;0.264992;0.262528;0.262144;0.25952;0.262112;0.261184;0.260288;0.261952;0.261792;0.260096;0.26016;0.262432;0.26032;0.260576;0.258784;0.260832;0.267392;0.2608;0.260224;0.260832;0.26208;0.262144;0.260832;0.26208;0.260096;0.26224;0.261056;0.264192;0.260096;0.260992;0.264032;0.260768;0.264192;0.262112;0.265504;0.262368;0.258144;0.26048;0.260096;0.260128;0.260096;0.266208;0.261696;0.258368;0.262144;0.264288;0.261088;0.258688;0.263424;0.260448;0.262144;0.264192;0.261952;0.262144;0.264192;0.26128;0.26048;0.262624;0.262176;0.262144;0.263584;0.261632;0.262176;0.262144;0.262144;0.262144;0.262144;0.26112;0.260096;0.264096;0.259712;0.259712;0.260064;0.260096;0.262144;0.2608;0.2616;0.26208;0.262112;0.261344;0.264256;0.262144;0.262208;0.262112;0.261824;0.260096;0.264128;0.263904;0.2616;0.263744;0.263392;0.26048;0.264064;0.262144;0.26336;0.260928;0.261792;0.261568;0.25904;0.262144;0.263296;0.260384;0.261184;0.264608;0.260096;0.260736;0.260096;0.262144;0.26192;0.26144
webbase-1M.mtx,1000005,1000005,3105536,warp_per_row,0.493895,0.530432,0.0416963,12.5757,91.6519,1.52588e-05,19.2522,0.530432;0.53056;0.53248;0.530432;0.530432;0.530592;0.5312;0.531328;0.530432;0.530848;0.531584;0.530976;0.530432;0.530752;0.53248;0.530432;0.531488;0.531744;0.531648;0.531648;0.530432;0.530816;0.531808;0.530784;0.530432;0.531488;0.530752;0.530528;0.530688;0.529536;0.530592;0.530112;0.530496;0.530496;0.530656;0.530848;0.53248;0.531648;0.530464;0.532;0.530784;0.530432;0.531168;0.532192;0.53232;0.530432;0.530976;0.531008;0.530432;0.52992;0.530976;0.532352;0.530432;0.532;0.532224;0.530912;0.530432;0.53136;0.53184;0.531456;0.530912;0.534464;0.53008;0.531488;0.53104;0.532416;0.531968;0.53184;0.530656;0.530432;0.531712;0.530976;0.530432;0.531104;0.530432;0.531136;0.53072;0.530432;0.530432;0.53072;0.532416;0.530432;0.5312;0.532064;0.531712;0.530688;0.53008;0.530432;0.53248;0.530432;0.532256;0.531904;0.530976;0.53232;0.530592;0.531392;0.531712;0.530496;0.530432;0.532352;0.531616;0.53088;0.53088;0.531136;0.53248;0.530496;0.530848;0.530496;0.531552;0.531008;0.532576;0.53248;0.533248;0.535584;0.53424;0.53456;0.53488;0.53456;0.533216;0.534432;0.5344;0.534912;0.534528;0.535808;0.534336;0.534496;0.534528;0.534624;0.534976;0.535648;0.534336;0.535968;0.534336;0.535328;0.534528;0.536;0.526848;0.447296;0.44816;0.448288;0.448512;0.448608;0.448192;0.448064;0.447648;0.44672;0.448352;0.448512;0.449472;0.446624;0.447008;0.44848;0.446752;0.448736;0.448384;0.448384;0.448768;0.448544;0.448512;0.448064;0.446912;0.448384;0.448064;0.448448;0.44832;0.448096;0.448512;0.4472;0.448448;0.448416;0.448352;0.44752;0.448096;0.446464;0.447136;0.450048;0.448416;0.44848;0.447584;0.448256;0.448256;0.447744;0.44816;0.447776;0.447936;0.448512;0.44848;0.448;0.448512;0.446976;0.448512;0.449664;0.446688;0.449088;0.447936;0.448512;0.447424;0.448384;0.448384;0.44848;0.448416;0.448256;0.448512;0.44656;0.448416;0.447424;0.447168;0.447232;0.446464;0.448352;0.448256;0.447808;0.44768;0.44848;0.44704;0.448672;0.446496;0.447136;0.447328;0.447328;0.448256;0.448512;0.448512;0.448416;0.44736;0.448512;0.44816;0.448512;0.448512;0.44864;0.447424;0.446816;0.448768;0.44848;0.447328;0.448032;0.447008;0.448992;0.448512;0.447232;0.446944;0.448192;0.448512;0.447488;0.448416;0.448128;0.448;0.447968;0.446464;0.448928
webbase-1M.mtx,1000005,1000005,3105536,multiwarp_per_row,2.11688,2.11597,0.00348305,2.93407,21.3836,1.52588e-05,4.4918,2.10538;2.10474;2.10333;2.10374;2.10374;2.10534;2.10534;2.10458;2.1048;2.11149;2.11315;2.11261;2.11562;2.11558;2.1145;2.11558;2.11558;2.11594;2.11558;2.11536;2.11558;2.11648;2.11558;2.11558;2.11565;2.1169;2.11939;2.12173;2.12243;2.12243;2.12173;2.1223;2.12173;2.1224;2.12173;2.12173;2.12173;2.12202;2.12186;2.1217;2.1217;2.12205;2.12173;2.1217;2.12211;2.12173;2.12298;2.12182;2.12186;2.12157;2.12173;2.12218;2.12166;2.12189;2.12211;2.1216;2.12173;2.12192;2.12221;2.12173;2.12058;2.12147;2.12173;2.12134;2.12288;2.12173;2.12186;2.12173;2.12173;2.12128;2.12173;2.12314;2.12173;2.12205;2.12173;2.12192;2.12131;2.12134;2.12173;2.12186;2.12173;2.12211;2.11827;2.1161;2.11706;2.11712;2.11565;2.11603;2.1167;2.11558;2.11597;2.11648;2.11603;2.11734;2.11706;2.11558;2.11763;2.11651;2.11571;2.11706;2.11699;2.11667;2.1167;2.11693;2.11661;2.11594;2.11638;2.11658;2.11574;2.11728;2.11686;2.11581;2.1159;2.11747;2.11731;2.1191;2.11558;2.11658;2.1169;2.1159;2.116;2.11686;2.11696;2.11725;2.11734;2.11754;2.11622;2.1161;2.11654;2.11776;2.11619;2.11616;2.11558;2.1153;2.11542;2.11558;2.11552;2.1168;2.1169;2.11581;2.11453;2.11584;2.11725;2.11558;2.1161;2.11565;2.11565;2.11581;2.11568;2.11584;2.11581;2.11542;2.11597;2.1169;2.11578;2.11622;2.11686;2.11558;2.1161;2.11558;2.11638;2.11597;2.11558;2.11549;2.11558;2.11626;2.11552;2.11581;2.11552;2.11626;2.1153;2.11558;2.11536;2.11552;2.11558;2.11562;2.11558;2.11594;2.11584;2.11542;2.11568;2.11546;2.11597;2.11741;2.11558;2.11606;2.11741;2.11546;2.11571;2.11504;2.11558;2.11626;2.11578;2.11718;2.11558;2.1161;2.11558;2.11558;2.11597;2.11558;2.11558;2.11571;2.11526;2.11686;2.11565;2.11446;2.11587;2.11658;2.11558;2.11546;2.11558;2.11453;2.11587;2.11558;2.11597;2.11558;2.11587;2.11558;2.11558;2.1161;2.11558;2.11587;2.11674;2.11536;2.11763;2.1176;2.11533;2.11578;2.11558;2.11533;2.11555;2.11571;2.11571;2.11558;2.11594;2.11658;2.11549;2.11523;2.11558;2.11558;2.11581;2.11642;2.11558;2.11542;2.11571;2.11574;2.11555;2.11558;2.11613;2.11664
webbase-1M.mtx,1000005,1000005,3105536,warp_vectorized,0.606616,0.606432,0.000530528,10.2389,74.6213,1.52588e-05,15.6748,0.60768;0.606208;0.606688;0.606432;0.608096;0.606208;0.6064;0.6064;0.606208;0.606848;0.607552;0.606272;0.606496;0.606208;0.606624;0.607968;0.606272;0.606304;0.606208;0.60736;0.607296;0.606624;0.606208;0.606208;0.606592;0.606304;0.606656;0.607712;0.607424;0.606368;0.606368;0.606464;0.606336;0.60624;0.606688;0.606208;0.606304;0.606208;0.60656;0.60624;0.607552;0.606272;0.606976;0.606208;0.607168;0.60624;0.60656;0.607392;0.606368;0.60624;0.606464;0.606208;0.60656;0.606432;0.605856;0.606304;0.606208;0.606336;0.60624;0.606464;0.606496;0.606208;0.606176;0.606208;0.606784;0.606208;0.606336;0.607296;0.606656;0.606208;0.60624;0.606208;0.606784;0.606208;0.606368;0.606208;0.606912;0.607424;0.606304;0.606208;0.606816;0.60672;0.606208;0.609024;0.607808;0.607488;0.606304;0.6072;0.607776;0.606208;0.60656;0.606208;0.606496;0.606432;0.606208;0.606272;0.606432;0.607232;0.606368;0.607456;0.606272;0.607264;0.606304;0.606208;0.606976;0.605152;0.606496;0.607488;0.606112;0.607232;0.60656;0.606368;0.606464;0.606912;0.607584;0.606272;0.606208;0.606944;0.607616;0.605984;0.606208;0.606464;0.60656;0.606208;0.606496;0.60624;0.607104;0.606624;0.607264;0.606624;0.607744;0.606208;0.606784;0.606208;0.606464;0.606208;0.606304;0.606208;0.606656;0.607232;0.605952;0.6064;0.606368;0.606496;0.607168;0.605888;0.606304;0.606208;0.60656;0.607712;0.606208;0.606208;0.605984;0.606368;0.606144;0.606208;0.606592;0.606432;0.606336;0.606368;0.606624;0.606336;0.607392;0.606304;0.606272;0.606336;0.606368;0.607392;0.606272;0.606784;0.607232;0.606208;0.60736;0.606432;0.606208;0.606816;0.606112;0.606336;0.60656;0.606208;0.606592;0.606208;0.606624;0.606208;0.60624;0.606208;0.607456;0.606368;0.606592;0.607328;0.606624;0.608096;0.607232;0.606208;0.606784;0.607488;0.606208;0.60672;0.606272;0.606784;0.605088;0.606816;0.606752;0.606208;0.606624;0.607264;0.606208;0.606208;0.606432;0.606208;0.606528;0.607264;0.606464;0.607488;0.606272;0.607584;0.606464;0.607008;0.607296;0.606432;0.607008;0.607648;0.606208;0.6064;0.606208;0.606368;0.607552;0.60624;0.606528;0.607424;0.606432;0.606752;0.606208;0.606624;0.607392;0.606368;0.607424;0.606304;0.60608;0.606272;0.606816;0.607616;0.606336;0.60656;0.606208;0.6064;0.60752;0.607648;0.606208;0.60656
webbase-1M.mtx,1000005,1000005,3105536,merge,0.293711,0.293296,0.00165835,21.1469,154.119,3.05176e-05,32.3739,0.294816;0.293312;0.292992;0.294688;0.294912;0.29296;0.29392;0.294816;0.292864;0.295584;0.29376;0.29344;0.294048;0.29248;0.294528;0.29392;0.293376;0.294912;0.295744;0.295936;0.29296;0.294912;0.295552;0.29376;0.292864;0.2928;0.2968;0.294304;0.292864;0.294912;0.292864;0.293344;0.293376;0.293504;0.29568;0.292608;0.294912;0.29696;0.293504;0.294912;0.29456;0.29296;0.293536;0.293248;0.293504;0.296032;0.2944;0.2944;0.293056;0.29296;0.293408;0.292544;0.295104;0.293024;0.294912;0.292768;0.294336;0.294432;0.294912;0.292672;0.294912;0.294016;0.293888;0.295264;0.29472;0.292864;0.295456;0.292736;0.292864;0.292608;0.294304;0.29312;0.294656;0.292864;0.29408;0.292864;0.292928;0.293248;0.292864;0.29312;0.293024;0.292928;0.293984;0.292864;0.293664;0.29264;0.296192;0.294336;0.292864;0.293728;0.295456;0.29312;0.292864;0.295392;0.2928;0.291904;0.292928;0.294912;0.296256;0.292864;0.29296;0.294272;0.292864;0.293376;0.2928;0.294688;0.293248;0.29696;0.2952;0.294944;0.292896;0.293248;0.29472;0.296928;0.294656;0.292736;0.292992;0.294592;0.294304;0.292;0.295072;0.294656;0.292928;0.294272;0.292608;0.292864;0.295072;0.292864;0.292864;0.293024;0.294112;0.294912;0.294272;0.292864;0.293536;0.292864;0.296736;0.292864;0.293344;0.29456;0.292864;0.296416;0.292256;0.29392;0.29472;0.294016;0.292864;0.292928;0.292704;0.2928;0.29328;0.292512;0.292864;0.2936;0.292928;0.292896;0.293312;0.293408;0.294528;0.294912;0.292832;0.293088;0.294816;0.292864;0.293472;0.292864;0.294912;0.29472;0.29472;0.292736;0.292768;0.293984;0.294688;0.294592;0.295776;0.292864;0.292864;0.29232;0.29232;0.294688;0.31248;0.296448;0.292864;0.2928;0.291264;0.292512;0.292928;0.293472;0.292864;0.295264;0.292832;0.29232;0.292864;0.293376;0.292864;0.292736;0.292864;0.294592;0.292736;0.294624;0.294912;0.292896;0.290848;0.292416;0.292992;0.2936;0.294112;0.292288;0.292864;0.291808;0.292896;0.293888;0.293248;0.292864;0.292672;0.294432;0.291872;0.292576;0.292864;0.291168;0.294208;0.293088;0.292544;0.29456;0.292608;0.294112;0.292288;0.293984;0.292288;0.292416;0.294912;0.291552;0.291744;0.293312;0.292704;0.292864;0.293408;0.292064;0.291104;0.292416;0.292736;0.29456;0.294752;0.294912;0.293056;0.29472;0.2936;0.292864;0.292608;0.292352
webbase-1M.mtx,1000005,1000005,3105536,cpasync_double,0.679939,0.679936,0.0015955,9.13475,66.5744,1.52588e-05,13.9845,0.680096;0.679872;0.680288;0.679456;0.67968;0.679936;0.681888;0.680064;0.679776;0.681984;0.680928;0.679936;0.68288;0.681984;0.68032;0.682112;0.678528;0.6816;0.680448;0.681984;0.680224;0.681984;0.682368;0.681984;0.680576;0.680896;0.681952;0.680576;0.684032;0.681984;0.681344;0.681984;0.679808;0.680032;0.681408;0.679936;0.680288;0.683456;0.682016;0.679616;0.680448;0.679808;0.68176;0.682176;0.678208;0.679936;0.682336;0.681152;0.679776;0.681088;0.68016;0.68224;0.68;0.679776;0.681984;0.678048;0.681984;0.679488;0.680224;0.67984;0.678016;0.680096;0.681984;0.680608;0.679936;0.679712;0.679936;0.682496;0.681984;0.676416;0.678752;0.681984;0.679456;0.681984;0.68032;0.684;0.679936;0.681376;0.681984;0.679968;0.678112;0.680864;0.681888;0.681344;0.679936;0.681984;0.682176;0.682336;0.679936;0.680224;0.676896;0.680224;0.68064;0.677952;0.677888;0.677888;0.679936;0.676096;0.679936;0.68064;0.680704;0.677952;0.679936;0.678496;0.678688;0.680128;0.680864;0.67984;0.67952;0.676544;0.677888;0.675872;0.677888;0.6824;0.679936;0.676672;0.677952;0.680256;0.68;0.68192;0.682848;0.678176;0.679936;0.679904;0.679648;0.681216;0.679808;0.678912;0.678464;0.68;0.680192;0.677888;0.678272;0.679904;0.677152;0.679712;0.681536;0.679232;0.681888;0.676704;0.679712;0.681824;0.6784;0.679712;0.677888;0.679936;0.67824;0.679744;0.677888;0.682112;0.676768;0.678336;0.6824;0.677888;0.680032;0.679328;0.67792;0.679936;0.68096;0.677888;0.67984;0.678784;0.679776;0.6816;0.680096;0.678144;0.677888;0.67824;0.679808;0.681984;0.676864;0.680224;0.68176;0.679744;0.679392;0.678784;0.678336;0.678752;0.680864;0.677888;0.680704;0.68048;0.678528;0.680384;0.679936;0.678656;0.678784;0.679872;0.680384;0.680288;0.680448;0.678336;0.679936;0.68064;0.676096;0.678976;0.680352;0.6776;0.679296;0.67808;0.680512;0.68048;0.67856;0.679936;0.680448;0.679936;0.679872;0.673792;0.680288;0.67984;0.681984;0.678464;0.6816;0.679936;0.681568;0.678272;0.679136;0.681344;0.677824;0.681984;0.679296;0.679936;0.679584;0.68;0.677888;0.678144;0.67952;0.677888;0.680416;0.680544;0.68016;0.681856;0.681984;0.677856;0.679232;0.681536;0.679808;0.679264;0.677536;0.679424;0.677888;0.677888;0.681344;0.681376;0.681344;0.679648;0.679744;0.679872;0.67968;0.68144
webbase-1M.mtx,1000005,1000005,3105536,lightspmv,1.30854,1.2417,0.963988,4.74656,34.5931,3.05176e-05,7.26655,1.25514;1.24122;1.26573;1.24723;1.23901;1.28166;1.23629;1.23901;1.23725;1.23648;1.23594;1.23638;1.23114;1.23933;1.24234;1.24218;1.24086;1.23504;1.24346;1.23754;1.23613;1.27491;1.23565;1.23699;1.23904;1.23904;1.23565;1.23667;1.23536;1.23507;1.24314;1.23683;1.23798;1.23702;1.24518;1.23667;1.23504;1.25965;1.24928;1.24314;1.23802;1.23802;1.23754;1.2369;1.23638;1.23667;1.27366;1.23654;1.23539;1.24256;1.23594;1.2393;1.24656;1.26778;1.24486;1.23526;1.23683;1.24342;1.2329;1.23686;1.23699;1.23443;1.24314;1.23747;1.23507;1.24707;1.25213;1.25078;1.23702;1.26678;1.26032;1.23866;1.26342;1.25952;1.23574;1.27664;1.25699;1.23882;1.31846;1.25418;1.2455;1.24998;1.24643;1.2447;1.27875;1.24723;1.24723;1.26704;1.24979;1.2409;1.24838;1.2432;1.23939;1.24717;1.24723;1.24896;1.24157;1.27168;1.24928;1.24109;1.26058;1.25168;1.24304;1.24966;1.23904;1.2329;1.23494;1.2592;1.23933;1.23494;1.26371;1.24365;1.25952;16.5171;1.28998;1.24298;1.44602;1.26637;1.24086;1.23878;1.26643;1.23366;1.24026;1.26605;1.23392;1.2376;1.24083;1.24048;1.23754;1.25469;1.23904;1.23923;1.23738;1.23933;1.24077;1.24573;1.27293;1.25133;1.26435;1.26118;1.25338;1.24518;1.29434;1.24109;1.24061;1.25341;1.2417;1.24058;1.23952;1.23718;1.23904;1.24038;1.24435;1.23539;1.2472;1.25293;1.23706;1.23523;1.26157;1.23699;1.24314;1.25341;1.23555;1.23869;1.25581;1.23664;1.24355;1.27162;1.23958;1.24099;1.25414;1.25728;1.2617;1.24723;1.26157;1.25517;1.24109;1.25907;1.24442;1.24102;1.24342;1.23542;1.23763;1.25802;1.23699;1.24467;1.24714;1.23277;1.23466;1.33274;1.26157;1.24576;1.23712;1.25245;1.2417;1.24314;1.26157;1.24829;1.23853;1.25392;1.23878;1.23133;1.24109;1.2376;1.23699;1.24659;1.23517;1.23562;1.23699;1.24694;1.2433;1.25133;1.29286;1.27587;1.26758;1.27184;1.23904;1.24794;1.25328;1.25037;1.2361;1.27824;1.24371;1.23549;1.24614;1.23085;1.2401;1.25754;1.2679;1.24109;1.23293;1.23923;1.23699;1.23562;1.24051;1.23709;1.23664;1.27398;1.23728;1.2329;1.24221;1.23958;1.23942;1.25334;1.24314;1.23482;1.24435;1.24749;1.23715;1.24758
amazon0312.mtx,400727,400727,3200440,cusparse_default,0.0840083,0.083968,0.001197,76.1934,495.321,-1,100,0.085024;0.083968;0.082752;0.082496;0.08432;0.083968;0.090112;0.083968;0.083872;0.083648;0.083968;0.083968;0.083968;0.084064;0.083968;0.083968;0.084352;0.083968;0.083968;0.083648;0.08432;0.083968;0.082848;0.082912;0.08272;0.084064;0.083968;0.084096;0.08304;0.082528;0.08384;0.083968;0.08288;0.084096;0.083648;0.083968;0.083968;0.083616;0.084032;0.083968;0.083968;0.083968;0.084;0.083968;0.083968;0.085152;0.083392;0.083744;0.083968;0.083968;0.08384;0.083968;0.084;0.083616;0.083968;0.085088;0.083552;0.083968;0.083968;0.083808;0.083872;0.083936;0.083968;0.083968;0.08288;0.08352;0.084032;0.083968;0.083616;0.083744;0.083968;0.083968;0.08288;0.084096;0.083968;0.083968;0.082912;0.085024;0.08384;0.083264;0.084288;0.083968;0.083968;0.082688;0.08384;0.083488;0.083296;0.082176;0.083936;0.082304;0.083776;0.083584;0.084;0.083968;0.082912;0.084032;0.083968;0.083968;0.082464;0.082592;0.083488;0.083936;0.08336;0.083968;0.083968;0.083776;0.083424;0.083904;0.083968;0.083776;0.08384;0.083968;0.08288;0.084128;0.082656;0.083648;0.083744;0.083424;0.083648;0.083968;0.084064;0.083904;0.083968;0.082528;0.082592;0.083808;0.08368;0.08384;0.083968;0.083968;0.083488;0.083104;0.083712;0.083968;0.082624;0.083936;0.08368;0.083968;0.083968;0.083904;0.083744;0.083968;0.083968;0.083776;0.083456;0.082496;0.08256;0.083776;0.083712;0.083968;0.083968;0.082688;0.082432;0.082688;0.082592;0.084512;0.083968;0.083968;0.084416;0.083968;0.08544;0.083552;0.083744;0.085056;0.083936;0.083968;0.083968;0.082656;0.084032;0.083648;0.083968;0.08272;0.084384;0.083936;0.083968;0.092032;0.083968;0.08272;0.083744;0.084;0.083968;0.084032;0.083424;0.083552;0.083552;0.083776;0.084032;0.083648;0.083872;0.083968;0.082912;0.084736;0.083968;0.083968;0.083968;0.083616;0.083616;0.084032;0.083968;0.084384;0.08512;0.084128;0.084768;0.085504;0.083968;0.084288;0.083968;0.084608;0.085216;0.085088;0.084192;0.084384;0.084736;0.085344;0.083968;0.08464;0.085792;0.096256;0.084224;0.084352;0.085216;0.084128;0.085248;0.084224;0.083968;0.084384;0.084896;0.085184;0.084;0.084768;0.085344;0.084256;0.084544;0.085376;0.08416;0.08432;0.083968;0.084384;0.085216;0.08416;0.085152;0.084288;0.084512;0.08528;0.084128;0.08464;0.085088;0.08432;0.08432;0.083968
