matrix,rows,cols,nnz,method,ms_mean,ms_median,ms_std,gflops,gbps,check_max_abs,pct_of_best_cusparse,samples_ms
roadNet-CA.mtx,1971281,1971281,5533214,baseline,0.153133,0.153344,0.0012024,72.2666,536.583,9.53674e-07,111.369,0.15152;0.153536;0.15504;0.1536;0.154048;0.152;0.154112;0.153504;0.151552;0.155232;0.153536;0.152512;0.153632;0.154912;0.153056;0.1536;0.1536;0.153664;0.1536;0.153056;0.153504;0.154656;0.152384;0.15472;0.151904;0.153664;0.1536;0.15536;0.153248;0.151808;0.15472;0.1536;0.15168;0.152672;0.15216;0.155648;0.152384;0.151552;0.15184;0.151872;0.1536;0.152672;0.151744;0.1512;0.153504;0.1536;0.153216;0.153696;0.1536;0.153952;0.1536;0.1536;0.154304;0.151552;0.15136;0.153728;0.15328;0.154464;0.1536;0.153344;0.151584;0.151552;0.1536;0.151392;0.154656;0.15392;0.152832;0.15328;0.151232;0.152576;0.152352;0.153344;0.15504;0.1512;0.15184;0.152416;0.154784;0.152192;0.152608;0.152416;0.149504;0.156608;0.153152;0.152896;0.153952;0.152864;0.152064;0.152096;0.1536;0.152512;0.1536;0.153088;0.15344;0.1536;0.152416;0.1536;0.155776;0.151904;0.1544;0.151552
roadNet-CA.mtx,1971281,1971281,5533214,lightspmv,0.260129,0.260096,0.00032899,42.5421,315.878,9.53674e-07,65.5613,0.26048;0.259808;0.260288;0.260096;0.260576;0.260096;0.260096;0.260096;0.260096;0.260096;0.259744;0.260096;0.260192;0.25984;0.260096;0.260096;0.259776;0.260096;0.260096;0.260128;0.260192;0.260224;0.259936;0.260096;0.260096;0.260096;0.260064;0.260096;0.261472;0.260096;0.260096;0.260096;0.259936;0.26016;0.260096;0.260096;0.259808;0.25872;0.261344;0.260576;0.260128;0.260096;0.260096;0.260096;0.260096;0.259936;0.260352;0.26;0.26;0.260096;0.260096;0.260096;0.260096;0.260096;0.260352;0.26032;0.260096;0.260096;0.25984;0.260256;0.260288;0.26;0.260096;0.260224;0.26016;0.260256;0.260096;0.260096;0.260096;0.260096;0.260096;0.260352;0.260096;0.260096;0.260096;0.259904;0.260096;0.260096;0.260096;0.259936;0.260096;0.260096;0.260192;0.260192;0.260096;0.260096;0.261344;0.260096;0.260096;0.259904;0.26;0.25904;0.260096;0.260096;0.260224;0.260256;0.259936;0.26112;0.260096;0.260096
rma10.mtx,46835,46835,2374001,cusparse_default,0.0509242,0.051136,0.00063982,93.2367,566.778,-1,100,0.050432;0.0512;0.051328;0.050528;0.051104;0.051168;0.0512;0.051488;0.05232;0.04992;0.05104;0.051008;0.052608;0.050528;0.0512;0.050656;0.04992;0.0512;0.0512;0.050944;0.049568;0.050656;0.051232;0.04992;0.0512;0.050816;0.04976;0.050368;0.0512;0.0512;0.0512;0.050304;0.050976;0.0496;0.050784;0.051072;0.050176;0.052288;0.051104;0.050752;0.0512;0.0512;0.05248;0.0512;0.050656;0.050176;0.0512;0.051264;0.051168;0.049824;0.0512;0.051296;0.051168;0.05168;0.049344;0.0512;0.051168;0.051168;0.051264;0.050912;0.052256;0.0512;0.0512;0.050848;0.049984;0.050272;0.0512;0.05136;0.050752;0.05136;0.050176;0.050912;0.051168;0.050624;0.052288;0.050848;0.049952;0.0512;0.050944;0.051392;0.05136;0.049888;0.050624;0.050048;0.0512;0.0512;0.0512;0.04928;0.0512;0.0512;0.0512;0.05136;0.050304;0.050176;0.05104;0.05104;0.051616;0.050816;0.050944;0.050848
rma10.mtx,46835,46835,2374001,cusparse_csr_alg2,0.0602595,0.060192,0.000704652,78.7926,478.973,-1,84.5081,0.059392;0.060864;0.060224;0.060576;0.06144;0.059392;0.059392;0.059392;0.059392;0.06048;0.060928;0.06144;0.06144;0.059552;0.059392;0.060608;0.060608;0.06144;0.059392;0.060928;0.06016;0.06064;0.060576;0.059584;0.060896;0.060192;0.059584;0.060608;0.06144;0.061088;0.059552;0.06016;0.059744;0.060896;0.059904;0.061056;0.059968;0.059392;0.059392;0.059392;0.060928;0.060192;0.060704;0.060384;0.059552;0.059392;0.060672;0.059936;0.059616;0.060576;0.060384;0.061024;0.060192;0.059552;0.059392;0.05952;0.0608;0.060256;0.060512;0.06144;0.059392;0.059392;0.059392;0.061088;0.060064;0.060832;0.060064;0.059392;0.06096;0.059424;0.060128;0.059776;0.061344;0.059744;0.061024;0.059776;0.06;0.06144;0.059616;0.061216;0.060064;0.059392;0.060448;0.059392;0.059392;0.059392;0.060672;0.061408;0.059904;0.061408;0.059808;0.060576;0.0608;0.061344;0.059808;0.06144;0.060608;0.061152;0.059968;0.059392
rma10.mtx,46835,46835,2374001,baseline,0.105146,0.104624,0.0014902,45.1562,274.501,2.625,48.4317,0.106496;0.10816;0.106368;0.106016;0.106464;0.106368;0.105664;0.108384;0.105952;0.106496;0.105696;0.107872;0.10688;0.106528;0.10544;0.106592;0.105888;0.106496;0.106496;0.106496;0.106496;0.106208;0.104448;0.107904;0.106496;0.107296;0.104448;0.107552;0.10608;0.107136;0.106112;0.106848;0.106496;0.106624;0.106432;0.10656;0.107264;0.108448;0.106496;0.107424;0.104864;0.104512;0.104448;0.105664;0.104512;0.105664;0.104192;0.102912;0.104448;0.104448;0.103328;0.103712;0.104448;0.1024;0.102656;0.104448;0.104256;0.105888;0.104448;0.106016;0.104448;0.104448;0.1032;0.103712;0.102432;0.104448;0.104576;0.102752;0.10448;0.103232;0.105344;0.104288;0.105504;0.104448;0.103264;0.104448;0.104256;0.1048;0.104928;0.104672;0.103552;0.103232;0.103456;0.10432;0.104448;0.104448;0.104512;0.102816;0.1024;0.104448;0.104576;0.104288;0.10256;0.104448;0.102688;0.104448;0.1032;0.105728;0.106464;0.104128
rma10.mtx,46835,46835,2374001,lightspmv,0.049863,0.049728,0.000661612,95.2209,578.839,3,102.128,0.050784;0.0512;0.050464;0.0512;0.050528;0.050016;0.049152;0.050592;0.049152;0.050496;0.049152;0.05056;0.04912;0.04928;0.050592;0.049952;0.049152;0.050816;0.049152;0.050464;0.049088;0.049728;0.050368;0.050016;0.050688;0.0496;0.049152;0.0512;0.049152;0.0504;0.049152;0.05008;0.049152;0.050848;0.049216;0.050496;0.049248;0.049152;0.049536;0.04976;0.049152;0.050656;0.049152;0.050336;0.0496;0.049664;0.0512;0.049472;0.050784;0.0496;0.049856;0.049888;0.049152;0.050528;0.049184;0.04928;0.049152;0.05072;0.049376;0.050464;0.049344;0.04944;0.04928;0.049888;0.049632;0.051072;0.049184;0.050592;0.049344;0.049728;0.049152;0.050368;0.049248;0.04976;0.049152;0.05072;0.049056;0.049664;0.050336;0.049952;0.049152;0.050912;0.049216;0.0504;0.049248;0.049824;0.04912;0.049984;0.05024;0.050624;0.049152;0.050912;0.049152;0.050336;0.049696;0.050624;0.049152;0.049152;0.049728;0.049696
bmw7st_1.mtx,141347,141347,7339667,cusparse_default,0.117732,0.117696,0.000696822,124.684,757.708,-1,100,0.118464;0.117056;0.117408;0.117824;0.117536;0.116736;0.118784;0.117952;0.117632;0.118656;0.116896;0.118784;0.116736;0.117568;0.116992;0.118784;0.118144;0.11728;0.118208;0.117152;0.118336;0.116928;0.11808;0.117568;0.118464;0.11696;0.118464;0.11712;0.118784;0.118176;0.116832;0.118752;0.118048;0.11728;0.118144;0.117408;0.116736;0.118336;0.11696;0.11872;0.117824;0.117664;0.11792;0.117504;0.116928;0.118688;0.118336;0.11744;0.11728;0.118368;0.116992;0.118336;0.118144;0.117408;0.117856;0.11872;0.118304;0.117024;0.11776;0.117312;0.117952;0.117728;0.118368;0.116896;0.11872;0.116768;0.118688;0.118464;0.1168;0.117632;0.116832;0.116736;0.118784;0.116736;0.117568;0.117984;0.117632;0.118496;0.1168;0.118784;0.116736;0.117536;0.116736;0.118304;0.116896;0.118368;0.116928;0.118688;0.116864;0.118784;0.116768;0.118176;0.116864;0.118528;0.116736;0.118528;0.118048;0.117536;0.11792;0.11744
bmw7st_1.mtx,141347,141347,7339667,cusparse_csr_alg2,0.128504,0.12872,0.00077827,114.233,694.195,-1,91.6178,0.128384;0.12752;0.129024;0.1288;0.128384;0.128736;0.129088;0.129152;0.12928;0.127392;0.127744;0.128;0.128544;0.127424;0.12896;0.12704;0.129024;0.129024;0.12896;0.129184;0.129024;0.129024;0.128672;0.12848;0.127968;0.13024;0.128896;0.129024;0.129024;0.130176;0.127584;0.128736;0.127072;0.128448;0.127584;0.128736;0.128512;0.128608;0.12768;0.128896;0.128832;0.129248;0.1288;0.127392;0.129024;0.128864;0.128224;0.128;0.127968;0.12896;0.128896;0.12816;0.128704;0.127808;0.129024;0.128544;0.127584;0.126976;0.12784;0.126976;0.1288;0.12848;0.12784;0.128864;0.129216;0.128608;0.128864;0.127712;0.130656;0.126976;0.128832;0.128608;0.127424;0.129024;0.127872;0.129024;0.12848;0.129568;0.129024;0.128992;0.12704;0.126976;0.129024;0.128544;0.127232;0.129024;0.129024;0.128832;0.128832;0.128992;0.128768;0.128608;0.127904;0.128832;0.127168;0.130656;0.128608;0.127744;0.129504;0.128352
bmw7st_1.mtx,141347,141347,7339667,baseline,0.318244,0.317552,0.0050772,46.1261,280.31,1.34218e+08,36.9945,0.323584;0.325632;0.316384;0.316896;0.317216;0.321856;0.317024;0.318816;0.325024;0.309888;0.32448;0.311296;0.318176;0.336032;0.317312;0.315392;0.316288;0.31744;0.309952;0.323584;0.31504;0.313056;0.317152;0.315392;0.3232;0.321536;0.31328;0.308544;0.315072;0.314784;0.315616;0.31632;0.320128;0.311424;0.31536;0.319712;0.314272;0.321536;0.321952;0.320064;0.320416;0.308768;0.316608;0.309696;0.313344;0.31744;0.31824;0.313664;0.315392;0.318304;0.322336;0.332;0.326592;0.319488;0.313344;0.315392;0.318976;0.319776;0.317632;0.318592;0.321088;0.321408;0.329632;0.313056;0.318592;0.321856;0.318496;0.317984;0.324192;0.317472;0.315392;0.31744;0.314272;0.319488;0.319488;0.321536;0.313184;0.313728;0.31744;0.313312;0.321792;0.32128;0.321536;0.312736;0.321536;0.319104;0.3168;0.319392;0.319488;0.314048;0.323584;0.316576;0.327392;0.33168;0.315392;0.309248;0.32752;0.311744;0.319424;0.313312
bmw7st_1.mtx,141347,141347,7339667,lightspmv,0.117121,0.116992,0.000889369,125.335,761.666,1.34218e+08,100.522,0.118528;0.118624;0.116736;0.118272;0.116768;0.116864;0.116736;0.118496;0.116608;0.117152;0.116736;0.117792;0.11664;0.117568;0.116544;0.117504;0.116736;0.117088;0.117824;0.118272;0.116608;0.116928;0.116736;0.118208;0.116896;0.117152;0.116736;0.117984;0.116416;0.117632;0.116736;0.116736;0.115552;0.118304;0.116992;0.117792;0.11632;0.118368;0.116768;0.117376;0.116736;0.116736;0.116672;0.11808;0.116768;0.117408;0.116672;0.117344;0.116736;0.118048;0.116992;0.11728;0.117824;0.117056;0.11664;0.117248;0.116768;0.118464;0.116736;0.117152;0.115552;0.11808;0.116864;0.117504;0.116736;0.118208;0.116832;0.117408;0.11792;0.118176;0.116704;0.117376;0.116736;0.11776;0.116928;0.117728;0.116736;0.118176;0.117056;0.117152;0.11808;0.118208;0.116768;0.118464;0.116672;0.11712;0.116736;0.116736;0.116992;0.117536;0.116736;0.118784;0.116992;0.118528;0.114688;0.114688;0.114688;0.115712;0.114528;0.114688
