matrix,rows,cols,nnz,method,ms_mean,ms_median,ms_std,gflops,gbps,check_max_abs,pct_of_best_cusparse,samples_ms
thermal2.mtx,1228045,1228045,8580313,cusparse_default,0.203514,0.203488,0.000697284,84.3215,554.203,-1,100,0.204448;0.203168;0.203648;0.204032;0.20464;0.202752;0.203808;0.204032;0.20352;0.202752;0.203392;0.203488;0.202752;0.203072;0.204416;0.20224;0.202752;0.204608;0.202752;0.204416;0.204448;0.203776;0.20304;0.202752;0.203424;0.204224;0.202816;0.203616;0.2048;0.203904;0.202592;0.202752;0.204032;0.202816;0.20416;0.202752;0.203616;0.204736;0.204352;0.202752;0.20448;0.20304;0.203552;0.203616;0.202752;0.203456;0.202752;0.201632;0.204064;0.202976;0.203968;0.203104;0.203744;0.202752;0.20448;0.203168;0.203648;0.203584;0.204224;0.202912;0.20384;0.203264;0.203328;0.204;0.202816;0.204128;0.202912;0.203296;0.20416;0.203296;0.2032;0.204736;0.203872;0.202976;0.202752;0.203488;0.203616;0.204416;0.202752;0.20448;0.202752;0.204672;0.202752;0.20336;0.203648;0.204192;0.202912;0.20416;0.202816;0.202752;0.204768;0.20448;0.202752;0.20352;0.202944;0.2048;0.202752;0.203264;0.203936;0.202912
thermal2.mtx,1228045,1228045,8580313,cusparse_csr_alg2,0.215608,0.215376,0.000720083,79.5918,523.117,-1,94.3909,0.215936;0.215456;0.215392;0.21504;0.216896;0.214848;0.21504;0.215648;0.216768;0.21616;0.215488;0.213728;0.215584;0.215264;0.216608;0.215136;0.21504;0.216448;0.215296;0.217088;0.216384;0.215136;0.215712;0.21504;0.21568;0.215616;0.21504;0.215968;0.216608;0.2152;0.21504;0.215648;0.2168;0.216416;0.21536;0.217088;0.215072;0.215232;0.21504;0.217088;0.215264;0.215232;0.216448;0.216576;0.216192;0.21488;0.215168;0.214752;0.21504;0.215296;0.213184;0.215296;0.21632;0.21504;0.21504;0.215872;0.21504;0.215232;0.216576;0.215328;0.215616;0.21504;0.215488;0.216384;0.215264;0.216224;0.214944;0.21504;0.214976;0.21504;0.215392;0.217024;0.215392;0.216384;0.215232;0.216192;0.215456;0.21504;0.216416;0.2152;0.215008;0.215616;0.21504;0.21504;0.215328;0.216384;0.215488;0.216608;0.216096;0.21536;0.215808;0.216704;0.215104;0.217088;0.21504;0.215744;0.216448;0.215264;0.21504;0.21504
thermal2.mtx,1228045,1228045,8580313,baseline,0.2439,0.243712,0.000802755,70.3593,462.436,1.2517e-06,83.4417,0.243712;0.24224;0.24192;0.243712;0.245344;0.243328;0.244192;0.243744;0.24288;0.244928;0.244608;0.243648;0.243328;0.243712;0.243712;0.245024;0.244704;0.243744;0.243712;0.243712;0.243712;0.243712;0.24256;0.243904;0.245632;0.24352;0.243712;0.243584;0.243712;0.243712;0.243712;0.243712;0.243328;0.244064;0.243712;0.243712;0.245632;0.243712;0.244864;0.244384;0.243712;0.24368;0.243136;0.242112;0.24576;0.2424;0.24256;0.245248;0.243968;0.243712;0.243712;0.24416;0.243712;0.245088;0.243712;0.243712;0.243872;0.243936;0.243712;0.244288;0.24176;0.24416;0.243904;0.242432;0.244224;0.243776;0.244416;0.244096;0.244256;0.243712;0.245088;0.243712;0.243712;0.243392;0.243744;0.24528;0.243584;0.243776;0.244832;0.243264;0.244896;0.244224;0.244992;0.243776;0.243648;0.243904;0.243712;0.243968;0.245632;0.243712;0.242528;0.243712;0.243712;0.243712;0.24576;0.243872;0.243808;0.24368;0.243712;0.245216
thermal2.mtx,1228045,1228045,8580313,lightspmv,0.378995,0.37888,0.000518324,45.2793,297.598,9.53674e-07,53.6984,0.380864;0.37888;0.379232;0.378752;0.379072;0.378784;0.378656;0.379008;0.38016;0.379264;0.37888;0.37888;0.379968;0.379168;0.37888;0.37904;0.379232;0.37888;0.379104;0.37888;0.379936;0.379104;0.37888;0.37888;0.37888;0.37888;0.37856;0.379392;0.380928;0.37888;0.37888;0.379232;0.378848;0.37888;0.37888;0.37888;0.379488;0.37888;0.37888;0.37888;0.37888;0.37888;0.37888;0.37888;0.37888;0.379968;0.378944;0.379104;0.37872;0.37904;0.37888;0.37888;0.37888;0.37888;0.377632;0.380064;0.379008;0.379008;0.378784;0.378784;0.37888;0.37888;0.37888;0.37776;0.379296;0.379392;0.37888;0.37888;0.378912;0.377184;0.378944;0.379008;0.37888;0.37888;0.37888;0.37888;0.38;0.37744;0.378944;0.379264;0.37888;0.380064;0.37872;0.3792;0.37856;0.379072;0.378848;0.378656;0.37888;0.378688;0.378752;0.37856;0.379264;0.37888;0.37888;0.378848;0.378912;0.379168;0.379104;0.37888
net25.mtx,9520,9520,401200,cusparse_default,0.0164787,0.016384,0.000319068,48.6931,296.781,-1,100,0.016544;0.016384;0.016224;0.016576;0.016416;0.016384;0.016384;0.016416;0.017952;0.016384;0.016384;0.016384;0.016544;0.016608;0.01648;0.016384;0.016384;0.016384;0.016448;0.016384;0.016384;0.016704;0.01664;0.016416;0.016384;0.016384;0.016224;0.016384;0.016384;0.016352;0.01648;0.016384;0.016384;0.016608;0.016352;0.01744;0.016384;0.016384;0.016384;0.016384;0.016384;0.016384;0.016192;0.016608;0.016384;0.016192;0.01616;0.016384;0.016384;0.016608;0.016736;0.01744;0.016384;0.016448;0.016288;0.01536;0.016384;0.016544;0.016544;0.017536;0.016384;0.016448;0.016352;0.016384;0.016384;0.016352;0.016352;0.016384;0.01664;0.016448;0.01664;0.016576;0.016384;0.016384;0.016224;0.016384;0.016384;0.016576;0.016096;0.01744;0.016384;0.016192;0.016256;0.016384;0.01648;0.016352;0.016384;0.016384;0.01664;0.016608;0.016384;0.016384;0.016384;0.017472;0.016384;0.01664;0.016416;0.016384;0.016384;0.016928
net25.mtx,9520,9520,401200,cusparse_csr_alg2,0.0201619,0.020288,0.000460907,39.7978,242.564,-1,81.7319,0.02048;0.020288;0.02048;0.020224;0.020288;0.02048;0.01904;0.02048;0.020192;0.02048;0.020448;0.02048;0.02048;0.020256;0.01904;0.019872;0.02048;0.020064;0.02048;0.02;0.02048;0.019936;0.02048;0.02032;0.019328;0.020096;0.02048;0.020352;0.019328;0.02048;0.020224;0.02048;0.020032;0.02048;0.02016;0.02048;0.020576;0.02048;0.020288;0.01936;0.020192;0.01936;0.020128;0.019456;0.020192;0.01936;0.02048;0.020288;0.019296;0.020384;0.019264;0.020288;0.01936;0.020448;0.02016;0.020448;0.020352;0.019168;0.020224;0.020288;0.02048;0.020192;0.020448;0.02048;0.020128;0.019456;0.02048;0.020096;0.02048;0.019904;0.02048;0.020416;0.02048;0.020192;0.019104;0.02016;0.02048;0.020416;0.02032;0.02048;0.02016;0.02048;0.020064;0.02048;0.020064;0.02192;0.02048;0.020256;0.019328;0.020448;0.0192;0.02048;0.02;0.02048;0.020096;0.020384;0.02048;0.02032;0.019296;0.020096
net25.mtx,9520,9520,401200,baseline,0.0222842,0.0224,0.000414935,36.0076,219.464,2.28882e-05,73.9481,0.023968;0.022528;0.022496;0.022464;0.022528;0.0224;0.022528;0.022208;0.022528;0.022304;0.022528;0.0224;0.021408;0.022304;0.022528;0.02224;0.022528;0.02224;0.022528;0.022848;0.022528;0.022272;0.022528;0.022304;0.022464;0.022496;0.021312;0.022528;0.021312;0.022528;0.021408;0.022336;0.021472;0.022464;0.02144;0.02224;0.022528;0.022304;0.022528;0.02224;0.022464;0.021248;0.022208;0.022528;0.022272;0.022528;0.02224;0.022464;0.022464;0.022528;0.022208;0.022496;0.022272;0.0224;0.022496;0.022304;0.021312;0.02224;0.022528;0.022272;0.022528;0.02224;0.022528;0.021376;0.022272;0.022528;0.02224;0.022528;0.022272;0.022528;0.022272;0.022528;0.022368;0.022528;0.022272;0.022528;0.022272;0.022432;0.022528;0.022208;0.0224;0.021376;0.021952;0.022528;0.02224;0.022528;0.02224;0.022496;0.021312;0.022336;0.022528;0.022272;0.022528;0.022272;0.022336;0.021344;0.022528;0.022272;0.022528;0.021216
net25.mtx,9520,9520,401200,lightspmv,0.0167226,0.016528,0.000491764,47.9831,292.453,1.52588e-05,98.5418,0.018144;0.016384;0.01648;0.0168;0.016992;0.017632;0.017504;0.016384;0.016736;0.016672;0.016384;0.016576;0.01648;0.016384;0.016416;0.016544;0.017568;0.016384;0.016768;0.0168;0.016384;0.016352;0.016736;0.017664;0.016384;0.016736;0.016384;0.016448;0.016384;0.016512;0.017152;0.016768;0.016384;0.016576;0.016608;0.016352;0.016384;0.016544;0.016448;0.016384;0.016736;0.016736;0.016384;0.016416;0.016608;0.016384;0.016384;0.016736;0.017664;0.016384;0.01648;0.017536;0.017696;0.017696;0.016384;0.016672;0.01696;0.017472;0.016384;0.016768;0.016768;0.01776;0.017504;0.016384;0.016384;0.01904;0.016384;0.01664;0.016416;0.017056;0.016384;0.016384;0.016768;0.017568;0.016384;0.016704;0.016544;0.016384;0.016416;0.017504;0.016384;0.016416;0.016384;0.016576;0.016736;0.016384;0.016384;0.016384;0.016288;0.016384;0.016576;0.016768;0.016384;0.016416;0.016768;0.017536;0.016384;0.016384;0.016416;0.016832
cfd1.mtx,70656,70656,1828364,cusparse_default,0.0447379,0.044448,0.00408985,81.7367,503.055,-1,100,0.044736;0.044448;0.043904;0.044416;0.043776;0.043648;0.044672;0.043744;0.04464;0.044448;0.045056;0.044928;0.04512;0.043648;0.043392;0.044768;0.04384;0.04448;0.044;0.044736;0.04384;0.044384;0.043904;0.044448;0.084992;0.044832;0.043616;0.044768;0.043776;0.044128;0.045056;0.044256;0.045056;0.04448;0.045056;0.045056;0.044576;0.04384;0.044864;0.044512;0.044896;0.04352;0.044768;0.043616;0.044768;0.043488;0.0432;0.045056;0.044288;0.045056;0.044512;0.044928;0.045056;0.044448;0.044832;0.043584;0.043008;0.045024;0.043264;0.045056;0.04432;0.045056;0.044032;0.045056;0.043328;0.044544;0.04384;0.04432;0.044672;0.04368;0.044576;0.043808;0.04432;0.044032;0.04416;0.045056;0.044256;0.046272;0.043808;0.043488;0.044864;0.04352;0.044256;0.044;0.04416;0.045056;0.044576;0.043744;0.044256;0.045056;0.044064;0.044832;0.04352;0.044608;0.043424;0.044992;0.043264;0.0448;0.04352;0.044448
cfd1.mtx,70656,70656,1828364,cusparse_csr_alg2,0.0540902,0.054112,0.000608739,67.6042,416.075,-1,82.7098,0.053248;0.053984;0.0544;0.055264;0.053472;0.05472;0.054048;0.053376;0.054752;0.053632;0.05472;0.053728;0.053248;0.054368;0.055296;0.053248;0.054368;0.054272;0.054976;0.053568;0.053792;0.053248;0.054784;0.05376;0.053536;0.053248;0.054432;0.054592;0.054272;0.053248;0.054336;0.05456;0.055264;0.053568;0.054368;0.054944;0.053824;0.053536;0.054592;0.053728;0.05392;0.054592;0.054176;0.053248;0.054592;0.054528;0.055232;0.053248;0.054528;0.053376;0.054112;0.05344;0.053312;0.054656;0.054144;0.053344;0.054752;0.053536;0.054112;0.054304;0.055296;0.053312;0.054496;0.053408;0.05424;0.053344;0.053632;0.053248;0.054592;0.05408;0.053664;0.054752;0.054112;0.053248;0.054528;0.05408;0.053728;0.055008;0.053728;0.05392;0.054656;0.054112;0.053248;0.054816;0.053792;0.054112;0.054528;0.055008;0.053952;0.053696;0.053344;0.054944;0.054048;0.0536;0.05472;0.054144;0.053248;0.055296;0.053536;0.054336
cfd1.mtx,70656,70656,1828364,baseline,0.0932138,0.093312,0.00101384,39.2295,241.441,7.15256e-07,47.995,0.09376;0.095328;0.092768;0.094208;0.093888;0.09264;0.092672;0.09296;0.092992;0.094688;0.094208;0.093888;0.092608;0.093792;0.09216;0.094144;0.093632;0.095296;0.092576;0.09424;0.09216;0.09392;0.092032;0.094144;0.092512;0.094208;0.094208;0.09216;0.09216;0.094208;0.092608;0.093024;0.094208;0.09376;0.092384;0.093216;0.093952;0.094208;0.093376;0.093696;0.094592;0.09456;0.092256;0.094144;0.094208;0.093504;0.092288;0.093152;0.09216;0.094208;0.092256;0.093056;0.09216;0.09216;0.092896;0.093728;0.093344;0.093888;0.093216;0.09328;0.091808;0.09408;0.093344;0.093472;0.092736;0.093856;0.09216;0.093472;0.092224;0.094144;0.09216;0.09376;0.092032;0.094592;0.09216;0.095296;0.09216;0.09216;0.091072;0.093472;0.092832;0.094208;0.093856;0.094208;0.092416;0.094208;0.092928;0.09216;0.09264;0.092448;0.092288;0.094656;0.0936;0.093824;0.092544;0.094208;0.090112;0.09216;0.090112;0.09216
cfd1.mtx,70656,70656,1828364,lightspmv,0.0482963,0.048448,0.000669735,75.7144,465.99,4.76837e-07,92.6322,0.048704;0.049152;0.049152;0.049376;0.048448;0.049152;0.048352;0.049024;0.047552;0.048416;0.047392;0.049056;0.048512;0.04912;0.04848;0.048864;0.048416;0.048928;0.048928;0.047872;0.048544;0.049184;0.047168;0.047936;0.048096;0.049152;0.047904;0.048864;0.047136;0.048768;0.04704;0.048128;0.047808;0.048896;0.04768;0.048832;0.047104;0.048384;0.047712;0.048512;0.047616;0.04864;0.04896;0.048608;0.047648;0.048768;0.047616;0.048544;0.0472;0.049152;0.048864;0.047616;0.047328;0.047616;0.048864;0.048928;0.047648;0.049088;0.048512;0.049152;0.048736;0.048864;0.047744;0.048832;0.047456;0.04912;0.047104;0.048256;0.04736;0.048576;0.047264;0.049152;0.048672;0.048;0.047904;0.047552;0.04848;0.049152;0.048704;0.047904;0.049088;0.047808;0.047936;0.048416;0.047104;0.048768;0.0472;0.048512;0.04768;0.049152;0.048416;0.047872;0.047616;0.047872;0.048032;0.049056;0.0472;0.04736;0.049152;0.048448
